settlement_date,settlement_period,ssp,sbp,net_imbalance_volume,sell_price_adjustment,buy_price_adjustment
2026-04-15,47,81.01,81.01,-24.023445731872293,0.0,0.0
2026-04-15,48,65.48856026261883,65.48856026261883,-8.464565423881673,0.0,0.0
2026-04-16,1,106.9,106.9,57.166533703715245,0.0,0.0
2026-04-16,2,107.75,107.75,219.95046464646464,0.0,0.0
2026-04-16,3,106.69,106.69,518.4855437247475,0.0,0.0
2026-04-16,4,105.45,105.45,394.43186726851854,0.0,0.0
2026-04-16,5,92.14,92.14,-38.20502404513889,0.0,0.0
2026-04-16,6,68.58374456837981,68.58374456837981,-239.40244513888888,0.0,0.0
2026-04-16,7,87.05,87.05,-1.8440959722222223,0.0,0.0
2026-04-16,8,86.7,86.7,-60.16739611111111,0.0,0.0
2026-04-16,9,102.75,102.75,283.84055819444444,0.0,0.0
2026-04-16,10,102.4,102.4,116.27409739365218,0.0,0.0
2026-04-16,11,50.0,50.0,-96.88042033496733,0.0,0.0
2026-04-16,12,55.0,55.0,-65.60976713911468,0.0,0.0
2026-04-16,13,107.0,107.0,315.3734839432924,0.0,0.0
2026-04-16,14,119.4,119.4,295.4808179513889,0.0,0.0
2026-04-16,15,119.4,119.4,589.1607497012786,0.0,0.0
2026-04-16,16,123.45,123.45,773.1259331392213,0.0,0.0
2026-04-16,17,122.0,122.0,513.8981425504178,0.0,0.0
2026-04-16,18,112.0,112.0,223.79043944031085,0.0,0.0
2026-04-16,19,69.21,69.21,-96.3157624963925,0.0,0.0
2026-04-16,20,40.0,40.0,-259.61151878787877,0.0,0.0
2026-04-16,21,102.92,102.92,97.45931875,0.0,0.0
2026-04-16,22,101.5,101.5,306.1811277640218,0.0,0.0
2026-04-16,23,93.87227112469186,93.87227112469186,55.87707218205101,0.0,0.0
2026-04-16,24,111.45,111.45,215.56549958333332,0.0,0.0
2026-04-16,25,65.93,65.93,-23.580282222222223,0.0,0.0
2026-04-16,26,58.4,58.4,-211.07522833333334,0.0,0.0
2026-04-16,27,9.37,9.37,-293.40629583333333,0.0,0.0
2026-04-16,28,43.66,43.66,-220.40453763888888,0.0,0.0
2026-04-16,29,11.5,11.5,-288.51205039473683,0.0,0.0
2026-04-16,30,11.5,11.5,-312.47449921213894,0.0,0.0
2026-04-16,31,50.17,50.17,-70.27140059523809,0.0,0.0
2026-04-16,32,49.17,49.17,-291.7401650568499,0.0,0.0
2026-04-16,33,40.0,40.0,-323.67147938492064,0.0,0.0
2026-04-16,34,49.580678817494,49.580678817494,-631.6603867320262,0.0,0.0
2026-04-16,35,75.1,75.1,-323.7113636363636,0.0,0.0
2026-04-16,36,74.27821366672036,74.27821366672036,-222.80534699836602,0.0,0.0
2026-04-16,37,88.11,88.11,-255.37177479846943,0.0,0.0
2026-04-16,38,137.46,137.46,89.33023110150879,0.0,0.0
2026-04-16,39,79.15,79.15,-329.70307550958177,0.0,0.0
2026-04-16,40,115.39,115.39,-133.97290604575164,0.0,0.0
2026-04-16,41,125.0,125.0,45.36396981223854,0.0,0.0
2026-04-16,42,140.0,140.0,536.8905140873015,0.0,0.0
2026-04-16,43,137.49,137.49,317.72287012566136,0.0,0.0
2026-04-16,44,125.0,125.0,202.08499236359737,0.0,0.0
2026-04-16,45,69.33759617857315,69.33759617857315,-87.00620515873015,0.0,0.0
2026-04-16,46,121.35774237348542,121.35774237348542,297.62870244692346,0.0,0.0
2026-04-16,47,115.8,115.8,125.54357582142858,0.0,0.0
2026-04-16,48,111.9,111.9,111.27797148576097,0.0,0.0
2026-04-17,1,109.45,109.45,22.842120456862745,0.0,0.0
2026-04-17,2,79.99,79.99,-75.7320208185863,0.0,0.0
2026-04-17,3,76.03,76.03,-395.25983067460317,0.0,0.0
2026-04-17,4,73.15439651722349,73.15439651722349,-270.6805425,0.0,0.0
2026-04-17,5,90.38,90.38,-178.24011638888888,0.0,0.0
2026-04-17,6,85.93,85.93,-240.02740319113758,0.0,0.0
2026-04-17,7,100.0,100.0,93.75276991181659,0.0,0.0
2026-04-17,8,100.5,100.5,139.3483904149108,0.0,0.0
2026-04-17,9,103.78,103.78,52.44541434653916,0.0,0.0
2026-04-17,10,103.78,103.78,184.12705413694908,0.0,0.0
2026-04-17,11,94.68,94.68,-217.54698845238096,0.0,0.0
2026-04-17,12,119.6,119.6,131.52678944444443,0.0,0.0
2026-04-17,13,120.0,120.0,172.69241349206348,0.0,0.0
2026-04-17,14,123.45,123.45,421.22855958581295,0.0,0.0
2026-04-17,15,91.79,91.79,-55.25455751957541,0.0,0.0
2026-04-17,16,134.0,134.0,385.84636230962553,0.0,0.0
2026-04-17,17,134.0,134.0,531.3025634611304,0.0,0.0
2026-04-17,18,78.57,78.57,-18.372387030803488,0.0,0.0
2026-04-17,19,52.87,52.87,-96.5989934634127,0.0,0.0
2026-04-17,20,54.31,54.31,-94.25028066798941,0.0,0.0
2026-04-17,21,51.35,51.35,-158.66871380182926,0.0,0.0
2026-04-17,22,44.05,44.05,-292.6981071408402,0.0,0.0
2026-04-17,23,30.16,30.16,-292.8456514408668,0.0,0.0
2026-04-17,24,24.51,24.51,-208.830805,0.0,0.0
2026-04-17,25,23.26,23.26,-430.06102591555185,0.0,0.0
2026-04-17,26,-1.987852333128964,-1.987852333128964,-428.09805680555553,0.0,0.0
2026-04-17,27,26.961728027080568,26.961728027080568,-229.48734973039217,0.0,0.0
2026-04-17,28,41.98,41.98,-183.93362435967802,0.0,0.0
2026-04-17,29,85.51,85.51,257.62598305555554,0.0,0.0
2026-04-17,30,86.59,86.59,270.20321976539657,0.0,0.0
2026-04-17,31,67.81004048582996,67.81004048582996,184.92488135212417,0.0,0.0
2026-04-17,32,71.2,71.2,-95.46777223944875,0.0,0.0
2026-04-17,33,64.15,64.15,-227.31127268518517,0.0,0.0
2026-04-17,34,85.0,85.0,-194.96349006436316,0.0,0.0
2026-04-17,35,87.08,87.08,-419.96422759424604,0.0,0.0
2026-04-17,36,77.63,77.63,-478.9978272997685,0.0,0.0
2026-04-17,37,102.60457050582899,102.60457050582899,-96.23411957070707,0.0,0.0
2026-04-17,38,117.0,117.0,144.1995967175478,0.0,0.0
2026-04-17,39,130.0,130.0,529.9755665715962,0.0,0.0
2026-04-17,40,132.0,132.0,311.75443818703997,0.0,0.0
2026-04-17,41,133.4,133.4,377.86485064870976,0.0,0.0
2026-04-17,42,129.25,129.25,478.81627836375196,0.0,0.0
2026-04-17,43,124.5,124.5,153.10418021566596,0.0,0.0
2026-04-17,44,75.03,75.03,-18.535395885683762,0.0,0.0
2026-04-17,45,71.79732137117955,71.79732137117955,-43.6444974186057,0.0,0.0
2026-04-17,46,123.49,123.49,276.1912680134381,0.0,0.0
2026-04-17,47,120.45,120.45,324.28892277777777,0.0,0.0
2026-04-17,48,110.0,110.0,106.99598990272618,0.0,0.0
2026-04-18,1,97.47,97.47,-176.81548180555555,0.0,0.0
2026-04-18,2,95.11,95.11,-480.5558382616488,0.0,0.0
2026-04-18,3,88.89,88.89,-682.3735001685528,0.0,0.0
2026-04-18,4,86.42,86.42,-317.14194406852926,0.0,0.0
2026-04-18,5,85.16,85.16,-350.7661763117284,0.0,0.0
2026-04-18,6,48.274880132282014,48.274880132282014,-416.8330236882716,0.0,0.0
2026-04-18,7,57.77912275234041,57.77912275234041,-422.8072959722222,0.0,0.0
2026-04-18,8,69.81,69.81,-411.7981238095238,0.0,0.0
2026-04-18,9,66.36,66.36,-135.0984528968254,0.0,0.0
2026-04-18,10,67.22,67.22,-10.110379464285714,0.0,0.0
2026-04-18,11,66.55,66.55,-74.47988169293762,0.0,0.0
2026-04-18,12,68.78,68.78,-73.76707093253968,0.0,0.0
2026-04-18,13,48.77,48.77,-151.97923822916667,0.0,0.0
2026-04-18,14,49.16,49.16,-8.313681391568593,0.0,0.0
2026-04-18,15,42.58932855534297,42.58932855534297,-142.5197879713081,0.0,0.0
2026-04-18,16,52.0,52.0,-103.95782673883443,0.0,0.0
2026-04-18,17,37.34,37.34,-102.44264203703703,0.0,0.0
2026-04-18,18,10.0,10.0,-171.6454921604727,0.0,0.0
2026-04-18,19,10.0,10.0,-266.48099123015874,0.0,0.0
2026-04-18,20,19.554761964058518,19.554761964058518,-237.94796194444444,0.0,0.0
2026-04-18,21,12.62,12.62,-262.3270884722222,0.0,0.0
2026-04-18,22,59.99,59.99,41.82531898148148,0.0,0.0
2026-04-18,23,115.0,115.0,406.99419904978356,0.0,0.0
2026-04-18,24,112.95,112.95,257.1322120984961,0.0,0.0
2026-04-18,25,112.75,112.75,131.52335666666667,0.0,0.0
2026-04-18,26,42.97,42.97,-32.12356347222222,0.0,0.0
2026-04-18,27,85.89,85.89,68.01492104166667,0.0,0.0
2026-04-18,28,90.23,90.23,104.93226715485419,0.0,0.0
2026-04-18,29,97.75,97.75,49.44540902777778,0.0,0.0
2026-04-18,30,103.89920865315803,103.89920865315803,91.99012,0.0,0.0
2026-04-18,31,0.0,0.0,-289.43288655982906,0.0,0.0
2026-04-18,32,2.0,2.0,-195.17282051282052,0.0,0.0
2026-04-18,33,2.0,2.0,-281.44640120689655,0.0,0.0
2026-04-18,34,72.78,72.78,-396.07416666666666,0.0,0.0
2026-04-18,35,91.13,91.13,-409.17055555555555,0.0,0.0
2026-04-18,36,93.55,93.55,-448.17341356481484,0.0,0.0
2026-04-18,37,99.51,99.51,-402.04366013071893,0.0,0.0
2026-04-18,38,103.4248091933646,103.4248091933646,-69.47300375064123,0.0,0.0
2026-04-18,39,113.46,113.46,-292.1801161337513,0.0,0.0
2026-04-18,40,79.87,79.87,-271.01540714358225,0.0,0.0
2026-04-18,41,75.74513020509964,75.74513020509964,-326.51132778846153,0.0,0.0
2026-04-18,42,77.18127212867392,77.18127212867392,-40.61765046296296,0.0,0.0
2026-04-18,43,100.0,100.0,6.236907638888889,0.0,0.0
2026-04-18,44,74.33,74.33,-87.70354916666666,0.0,0.0
2026-04-18,45,73.0,73.0,-269.73333333333335,0.0,0.0
2026-04-18,46,71.56396622858598,71.56396622858598,-242.31277777777777,0.0,0.0
2026-04-18,47,94.18,94.18,3.492878861111111,0.0,0.0
2026-04-18,48,70.05089766714005,70.05089766714005,-231.27980402777777,0.0,0.0
2026-04-19,1,102.68,102.68,54.42056548609259,0.0,0.0
2026-04-19,2,61.24,61.24,-29.76431125,0.0,0.0
2026-04-19,3,102.72,102.72,52.891026705943915,0.0,0.0
2026-04-19,4,108.9,108.9,80.86103444444444,0.0,0.0
2026-04-19,5,108.9,108.9,154.02168874368687,0.0,0.0
2026-04-19,6,104.95844301329268,104.95844301329268,71.95206037820513,0.0,0.0
2026-04-19,7,94.35,94.35,-59.341667638888886,0.0,0.0
2026-04-19,8,77.45,77.45,-25.62916625,0.0,0.0
2026-04-19,9,98.07,98.07,17.01101068121693,0.0,0.0
2026-04-19,10,103.61,103.61,66.75773319444444,0.0,0.0
2026-04-19,11,114.5,114.5,219.98064274440836,0.0,0.0
2026-04-19,12,113.95,113.95,92.07424242424243,0.0,0.0
2026-04-19,13,67.67,67.67,-174.58814194444443,0.0,0.0
2026-04-19,14,103.28,103.28,36.83230291666667,0.0,0.0
2026-04-19,15,116.49,116.49,64.30277777777778,0.0,0.0
2026-04-19,16,116.49,116.49,55.8333324464887,0.0,0.0
2026-04-19,17,123.5,123.5,378.05,0.0,0.0
2026-04-19,18,116.5,116.5,82.53583333333333,0.0,0.0
2026-04-19,19,55.75,55.75,-24.205,0.0,0.0
2026-04-19,20,46.46,46.46,-186.86435833333334,0.0,0.0
2026-04-19,21,116.5,116.5,126.21111111111111,0.0,0.0
2026-04-19,22,38.47,38.47,-105.00355694444444,0.0,0.0
2026-04-19,23,42.26,42.26,-162.05972041666666,0.0,0.0
2026-04-19,24,116.5,116.5,209.6032552020202,0.0,0.0
2026-04-19,25,116.5,116.5,141.6494795115,0.0,0.0
2026-04-19,26,133.0,133.0,342.845,0.0,0.0
2026-04-19,27,110.0,110.0,550.0728394444444,0.0,0.0
2026-04-19,28,106.74,106.74,110.20131875,0.0,0.0
2026-04-19,29,111.0,111.0,54.43780152777778,0.0,0.0
2026-04-19,30,115.95,115.95,317.6594990895062,0.0,0.0
2026-04-19,31,115.95,115.95,36.50198209876543,0.0,0.0
2026-04-19,32,75.76,75.76,-111.80445366525424,0.0,0.0
2026-04-19,33,73.0,73.0,-194.0643453917633,0.0,0.0
2026-04-19,34,73.0,73.0,-76.47294761363636,0.0,0.0
2026-04-19,35,77.69,77.69,-115.39806054945055,0.0,0.0
2026-04-19,36,79.01,79.01,-144.3589368964369,0.0,0.0
2026-04-19,37,81.0,81.0,-64.15492641256313,0.0,0.0
2026-04-19,38,137.6,137.6,205.87964646464647,0.0,0.0
2026-04-19,39,137.6,137.6,146.46021343434722,0.0,0.0
2026-04-19,40,94.61,94.61,-76.02649847040584,0.0,0.0
2026-04-19,41,137.6,137.6,163.35000083333333,0.0,0.0
2026-04-19,42,97.57,97.57,-61.520001160910574,0.0,0.0
2026-04-19,43,140.0,140.0,188.3288333712121,0.0,0.0
2026-04-19,44,140.0,140.0,106.16292238351255,0.0,0.0
2026-04-19,45,140.0,140.0,14.431816982059159,0.0,0.0
2026-04-19,46,80.0,80.0,-246.1193089557785,0.0,0.0
2026-04-19,47,83.25,83.25,-157.28269891349217,0.0,0.0
2026-04-19,48,79.01,79.01,-284.8908853074549,0.0,0.0
2026-04-20,1,79.01,79.01,-156.047854319923,0.0,0.0
2026-04-20,2,79.1,79.1,-175.82170287061794,0.0,0.0
2026-04-20,3,79.01,79.01,-233.14803898723258,0.0,0.0
